fen,best_move,best_move_san,best_move_eval,next_best,next_best_eval,moving_piece,is_capture,is_check,capture_range
8/3B4/8/p4p1k/5P1p/Pb6/1P4P1/6K1 w - -,d7f5,Bxf5,652,g2g3,20,bishop,True,False,2
r1b2rk1/pp3ppp/1q2p3/2npP1N1/8/8/PPQ2PPP/R3RBK1 b - -,g7g6,g6,27,c5e4,199,pawn,False,False,
R4nk1/6p1/8/8/P1pN1pbb/8/2B3K1/8 w - -,a4a5,a5,425,c2f5,320,pawn,False,False,
3r4/4R1k1/3P4/pp1b1p2/5P1p/P2B4/1P3KP1/8 b - -,g7f6,Kf6,329,d5f7,565,king,False,False,
1R6/4qppk/6n1/b2p2Pp/2pP2b1/p1P5/P1B1rPPB/2Q2NK1 w - -,h2e5,Be5,175,b8b1,-188,bishop,False,False,
5rk1/pp1b1ppp/1q2p3/3pP3/1B3Pn1/3B1N2/P2K2PP/RN3Q2 b - -,b6b4,Qxb4+,-458,f8c8,0,queen,True,True,2
1q2r1k1/5pbp/4pnp1/2NbN3/1p3QP1/1P5P/rBR3BK/3R4 b - -,a2b2,Rxb2,-452,e8c8,-47,rook,True,False,1
r1bqk2r/p2p2pp/2pNpn2/8/1bP2P2/4B3/PP2K1PP/R2Q1B1R b kq -,b4d6,Bxd6,41,e8f8,159,bishop,True,False,2
r5k1/ppp2p1p/6pB/4n2n/3bPp2/2NB2qP/PPP3P1/R2Q1R1K b - -,g3h4,Qh4,189,d4c3,374,queen,False,False,
r3k2r/1p2pp2/p1npbnpb/6Qp/2B1P2P/1NN5/PPP2PP1/2KR2R1 w kq -,c4e6,Bxe6,129,c3d5,20,bishop,True,False,2
3rqrk1/p1p2ppp/2P2n2/8/1b4b1/2N5/PPP1BPPP/R1BQ1RK1 w - -,e2g4,Bxg4,-122,d1e1,-277,bishop,True,False,2
r1b2rk1/3nppbp/p2p2p1/Qpp5/2RPP3/5P2/PP2N1PP/1K3B1R b - -,b5c4,bxc4,-58,e7e5,277,pawn,True,False,
5N2/1p6/5p1k/p2ppbp1/P2PP3/5PKP/6P1/8 b - -,d5e4,dxe4,-264,h6g7,24,pawn,True,False,
3r4/1p2R1k1/p1bP4/5p1p/5P2/3B4/PP4P1/3K4 b - -,g7f6,Kf6,10,g7f8,113,king,False,False,
3k4/7R/p2P4/2p1b3/8/2P3rB/P4r2/1K2R3 w - -,h7d7,Rd7+,789,e1h1,28,rook,False,True,
5N2/1p6/5p1k/p3pbp1/P2PP3/6KP/6P1/8 b - -,f5e4,Bxe4,-328,f5c8,-99,bishop,True,False,1
r2q1rk1/pb1nbppp/1pp1pn2/8/2PPp3/5NP1/PPQN1PBP/R1BR2K1 w - -,d2e4,Nxe4,67,f3e1,-45,knight,True,False,
5rk1/pp1b1ppp/1q2p3/3pP3/1B3Pn1/3B1N2/P2KQ1PP/RNr2R2 b - -,c1f1,Rxf1,-481,b6b4,220,rook,True,False,3
3rqrk1/p1p2ppp/2P2n2/8/1b4b1/2N5/PPP1BPPP/R1B1QRK1 b - -,b4c3,Bxc3,-298,g4e2,10,bishop,True,False,1
r1bqkb1r/ppp2pp1/5n1p/3Pp3/2n5/3P1N2/PPP2PPP/RNBQK2R w KQkq -,d3c4,dxc4,0,e1h1,-272,pawn,True,False,
1R6/5ppk/4q1n1/b2pB1Pp/2pP2b1/p1P3N1/P1B1rPP1/2Q3K1 b - -,e2e5,Rxe5,105,a5c7,306,rook,True,False,3
r1b1k2r/1p2ppb1/p1np1np1/6qp/2B1P3/1NN5/PPPQ1PPP/2KR2R1 w kq -,d2g5,Qxg5,23,f2f4,-321,queen,True,False,3
5rk1/pp1b1ppp/1q2p3/3pP3/1B3Pn1/3B1N2/P2KQ1PP/RN3r2 w - -,e2f1,Qxf1,-367,b4f8,-533,queen,True,False,1
rnbqk2r/ppp2ppp/8/2bNp3/2B1nP2/8/PPPP2PP/R1BQK1NR w KQkq -,d1e2,Qe2,-26,d1h5,-188,queen,False,False,
3rqrk1/p1p2ppp/2P2n2/8/6b1/2P5/P1P1BPPP/R1B1QRK1 b - -,g4e2,Bxe2,-469,e8e2,-325,bishop,True,False,2
8/1pR3pk/7p/5r2/3n4/P1B1R2P/5PP1/6K1 b - -,f5d5,Rd5,3282,f5f4,4463,rook,False,False,
5N2/1p6/5p1k/p3P1p1/P3b3/6KP/6P1/8 b - -,f6f5,f5,-318,f6e5,-218,pawn,False,False,
R4nk1/6p1/8/5B2/P1pN1pbb/8/6K1/8 b - -,g4f5,Bxf5,294,f4f3,477,bishop,True,False,1
r3k2r/1p2pp2/p1npBnpb/6Qp/4P2P/1NN5/PPP2PP1/2KR2R1 b kq -,f7e6,fxe6,102,h6g5,428,pawn,True,False,
r3k2r/1p2p3/p1nppnpb/6Qp/4P2P/1NN5/PPP2PP1/2KR2R1 w kq -,e4e5,e5,118,g5h6,15,pawn,False,False,
8/8/4np2/4pk1p/RNr4P/P3KP2/1P6/8 w - -,b4d5,Nd5,697,a4a6,0,knight,False,False,
r1bqk1nr/1pp3pp/p1pb1p2/4p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,d4e5,dxe5,173,c1e3,26,pawn,True,False,
R4nk1/6p1/8/5B2/P1pN2bb/5p2/6K1/8 w - -,g2f1,Kf1,543,g2g1,288,king,False,False,
1rb2rk1/3nppbp/p2p2p1/Q1p5/2pPP3/5P2/PP4PP/1KN2B1R w - -,f1c4,Bxc4,-155,b1c2,-290,bishop,True,False,3
1R6/4q1pk/5pn1/b2pB1Pp/2pP2b1/p1P5/P1B1rPP1/2Q2NK1 w - -,c1b1,Qb1,354,c2g6,176,queen,False,False,
r2q1rk1/pp1b1ppp/4p3/2bn1N2/8/1Q4P1/PP2PPBP/R1B2RK1 w - -,f5g7,Nxg7,144,g2d5,32,knight,True,False,
5N2/1p6/7k/p3p1p1/P3b3/6KP/6P1/8 w - -,f8d7,Nd7,-216,h3h4,-504,knight,False,False,
2r2rk1/p7/3n2Pp/1p6/1P3pP1/PB1pbP2/1B4K1/R4R2 b - -,d6c4,Nc4,85,d6f7,537,knight,False,False,
5k2/p1p2pp1/7p/2r5/8/1P3P2/PBP3PP/1K6 w - -,b2a3,Ba3,1013,a2a4,-231,bishop,False,False,
r1bqkb1r/pppp1ppp/3n4/1B2R3/8/8/PPPP1PPP/RNBQ2K1 b kq -,f8e7,Be7,24,d8e7,445,bishop,False,False,
2r2k1r/1p2pp2/p2pbnpb/6Qp/3RPP1P/2N5/PPP1B1P1/2K3R1 b - -,h6g5,Bxg5,53,c8c3,277,bishop,True,False,1
1Kb5/2Pnk3/2B5/4Bppp/8/p5P1/4PP1P/8 w - -,b8c8,Kxc8,564,c6d7,11,king,True,False,
r3k2r/1p2p3/p2ppnpb/4n1Qp/5P1P/1NN5/PPP3P1/2KR2R1 b kq -,h6g5,Bxg5,261,f6g4,411,bishop,True,False,1
7r/1p4k1/p1bR1r2/2P2p2/5P1p/3B4/PP4P1/3KR3 w - -,e1e7,Re7+,121,d3f1,2,rook,False,True,
1R6/4q1pk/5pn1/b2pB1Pp/2pP2b1/p1P5/P1r2PP1/1Q3NK1 w - -,g5f6,gxf6,326,b1c2,-161,pawn,True,False,
8/5b2/2B2k2/p4p2/5P1p/P7/1P3KP1/8 b - -,f7b3,Bb3,621,h4h3,733,bishop,False,False,
8/2r5/4np2/3Npk1p/R6P/P3KP2/1P6/8 w - -,d5c7,Nxc7,624,a4a6,316,knight,True,False,
1k6/ppp3q1/8/4r3/8/8/3B1PPP/R4QK1 w - -,d2c3,Bc3,1064,f1d3,546,bishop,False,False,
8/8/1p3b2/8/4k3/R4p2/PP5P/2K5 w - -,c1d2,Kd2,609,c1d1,492,king,False,False,
r3kb1r/pppbqppp/2np1n2/1B2P3/3P4/5N2/PP3PPP/RNBQ1RK1 b kq -,d6e5,dxe5,118,f6e4,260,pawn,True,False,
r1bqkb1r/pppp1ppp/2n5/4p3/2B1N3/5N2/PPPP1PPP/R1BQK2R b KQkq -,d7d5,d5,10,f8b4,360,pawn,False,False,
r1bqkb1r/ppp2ppp/2n5/3pp3/2B1N3/5N2/PPPP1PPP/R1BQK2R w KQkq -,c4d3,Bd3,0,c4d5,-119,bishop,False,False,
8/8/1p3b2/8/4k3/R4p2/PP5P/3K4 b - -,f6b2,Bxb2,460,f6e5,580,bishop,True,False,4
